fid,type,sub_type,name,source,global_id,label,province,prov_code,district,distr_code,lat,long,data_year,geometry
1,Health Facility,Health Center,Mukobeko Township HC,MOH,{B526E5D3-6E7C-4182-BF1A-222A850184FA},Mukobeko Township HC,Central,101,Kabwe,101005,-14.4190099997,28.4091379996,2017-2018,"c(28.409137999619, -14.4190099997116)"
2,Health Facility,Health Post,Nkhruma Teachers College HP,MOH,{2C6E792A-BF17-4F53-B858-70FA76FB6C47},Nkhruma Teachers College HP,Central,101,Kabwe,101005,-14.4465620004,28.4667859997,2017-2018,"c(28.4667859996742, -14.4465620004359)"
3,Health Facility,Health Center,Iseni HC,MOH,{DDCA07BD-842C-4BC2-BF2A-3005E4704592},Iseni HC,Copperbelt,102,Chingola,102002,-12.5482860001,27.8414889998,2017-2018,"c(27.8414889998176, -12.5482860000988)"
4,Health Facility,Health Center,Kalulushi Township HC,MOH,{1D4CBBCC-7FBF-49F1-BECA-1CDB38D4B6E8},Kalulushi Township HC,Copperbelt,102,Kalulushi,102003,-12.8462849999,28.098153,2017-2018,"c(28.098152999961, -12.8462849998528)"
5,Health Facility,Health Center,Mpatamatu Section 26 HC,MOH,{AC7F0182-5DB9-4AB9-9F1C-52EA352A98F7},Mpatamatu Section 26 HC,Copperbelt,102,Luanshya,102005,-13.0991480001,28.3105350004,2017-2018,"c(28.31053500039, -13.0991480000801)"
6,Health Facility,Health Center,Mufulira T. College HC,MOH,{ACF5AEE2-AF79-471B-A069-3BF5DA0C05E4},Mufulira T. College HC,Copperbelt,102,Mufulira,102009,-12.563865,28.2323559996,2017-2018,"c(28.2323559996297, -12.5638649999697)"
7,Health Facility,Health Center,Chipokota Mayamba HC,MOH,{F17E5CE4-E2AF-401B-BF19-C0CD36AAB2B6},Chipokota Mayamba HC,Copperbelt,102,Ndola,102010,-12.9320089996,28.6095480001,2017-2018,"c(28.6095480001401, -12.9320089996156)"
8,Health Facility,Health Post,Masala New HP,MOH,{1C423AB2-798E-4B95-B1A0-F358CB29B6DE},Masala New HP,Copperbelt,102,Ndola,102010,-13.0037540004,28.6405940001,2017-2018,"c(28.6405940001131, -13.0037540004467)"
9,Health Facility,Health Center,Peter Singogo Police HC,MOH,{9D299ECE-4BCF-4046-8C2A-DC5606C4EF14},Peter Singogo Police HC,Copperbelt,102,Ndola,102010,-12.9713429996,28.6309309997,2017-2018,"c(28.630930999666, -12.9713429995797)"
10,Health Facility,Rural Health Post,Manduwi RHP,MOH,{A58BE9A4-5C3F-4357-9FA6-D50EE47DFCB9},Manduwi RHP,Eastern,103,Chipangali,103011,-13.3599789999,32.5435590004,2017-2018,"c(32.5435590004475, -13.3599789999308)"
11,Health Facility,Health Post,Network Of Zambia People HP,MOH,{24CC11DC-5F74-4891-9679-43C75291D6B2},Network Of Zambia People HP,Eastern,103,Katete,103003,-14.0855820002,32.0632710004,2017-2018,"c(32.0632710003565, -14.0855820002091)"
12,Health Facility,Rural Health Center,Mwase Lundazi Zonal RHC,MOH,{FF77E934-046F-4963-95A2-8200B7ACD673},Mwase Lundazi Zonal RHC,Eastern,103,Lundazi,103004,-12.411403,33.3399329998,2017-2018,"c(33.3399329998081, -12.4114030000484)"
13,Health Facility,Rural Health Center,Mwase-Mphangwe Zonal RHC,MOH,{C645958C-FE21-4882-B856-3E0FB24424DA},Mwase-Mphangwe Zonal RHC,Eastern,103,Lumezi,103013,-13.0310049999,32.9412550004,2017-2018,"c(32.941255000418, -13.0310049998808)"
14,Health Facility,Rural Health Center,Mwase-Mphangwe RHC,MOH,{50D780FD-D21C-4231-AA27-5FD69D5A0214},Mwase-Mphangwe RHC,Eastern,103,Lumezi,103013,-12.8953309998,32.9031460003,2017-2018,"c(32.9031460002877, -12.8953309998257)"
